text
Unidad I Fundamentos de los semiconductores  
Unidad II Diodos y Transistores 
Unidad III Amplificadores con elementos discretos y Amplificador Operacional
Unidad IV Dispositivos de tres y cuatro terminales
Unidad V Fuentes de alimentacion
dispositivos electronicos
