text
Unidad I Arquitectura y lenguajes de programacion para microcontroladores
Unidad II Modulos de los microcontroladores parasistemas automatas
Unidad III Tarjetas de desarrollo con microcontroladoresavanzados
Unidad IV Introduccion y programacion demicrocomputadoras basadas en microcontroladores
microcontroladores
