text
Unidad V Modulacion de pulsos en banda base yseñalizacion digital 
Unidad I Sistemas de radiofrecuencias – Fisica deradiofrecuencia
Unidad II Mecanismos y Modelos de propagacion
Unidad III Radio enlaces terrenales del servicio fijo
Unidad IV Propagacion de ondas en sistemas que operanen la troposfera ionosfera e hidrosfera
Unidad V Mediciones y seguridad en radiocomunicaciones 
propagacion
