text
Unidad I Electrostatica – Conductores y Dielectricos 
Unidad II Campos de corriente estacionaria
Unidad III Magnetostatica en el vacio
Unidad IV Magnetostatica y materiales
Unidad V Induccion electromagnetica
teoria eletromagnetica
